assignment_id,project_id,employee_id,role_on_project,allocation_pct,assigned_date,end_date,is_lead
1,1,480,Data Analyst,50,12/18/2025,3/27/2026,FALSE
2,1,51,Technical Lead,50,11/28/2025,3/26/2026,FALSE
3,1,92,Developer,25,12/15/2025,3/27/2026,FALSE
4,1,271,Project Manager,100,10/13/2025,3/23/2026,TRUE
5,2,108,Project Manager,50,9/9/2026,,TRUE
6,2,44,Developer,50,10/3/2026,,FALSE
7,3,194,Project Manager,50,1/16/2027,,TRUE
8,3,259,Delivery Manager,100,1/27/2027,,TRUE
9,3,444,Sales Representative,75,3/14/2027,,FALSE
10,4,276,Stakeholder Manager,50,2/1/2025,6/26/2025,FALSE
11,4,253,QA Tester,25,3/16/2025,6/27/2025,FALSE
12,4,286,Project Manager,50,1/19/2025,7/5/2025,TRUE
13,5,259,Stakeholder Manager,75,7/27/2025,,FALSE
14,5,487,Data Entry Clerk,50,8/1/2025,,FALSE
15,5,271,Project Manager,100,6/25/2025,,TRUE
16,5,432,Data Analyst,75,7/24/2025,4/11/2026,FALSE
17,5,84,Business Analyst,50,9/3/2025,4/11/2026,FALSE
18,5,54,Data Analyst,50,8/22/2025,,FALSE
19,5,87,Marketing Specialist,50,9/1/2025,,FALSE
20,5,153,QA Specialist,50,7/31/2025,,FALSE
21,6,129,Developer,50,5/19/2026,,FALSE
22,6,133,Project Manager,100,3/25/2026,,TRUE
23,6,423,QA Lead,25,5/6/2026,,FALSE
24,6,232,Sales Lead,25,5/22/2026,6/19/2026,FALSE
25,6,328,Marketing Specialist,75,5/26/2026,,FALSE
26,6,397,QA Tester,50,5/30/2026,,FALSE
27,6,148,Junior Analyst,100,5/17/2026,,FALSE
28,6,31,Marketing Lead,100,5/20/2026,,FALSE
29,7,449,Project Manager,100,6/11/2025,,TRUE
30,7,34,Stakeholder Manager,50,7/28/2025,,FALSE
31,7,423,Data Scientist,100,7/30/2025,6/20/2026,FALSE
32,7,243,Program Manager,75,6/8/2025,,TRUE
33,7,148,Data Entry Clerk,75,7/19/2025,,FALSE
34,7,19,Marketing Lead,100,7/10/2025,,FALSE
35,7,344,Program Manager,100,6/15/2025,,TRUE
36,7,474,Delivery Manager,50,8/5/2025,,FALSE
37,7,31,Sales Lead,50,7/12/2025,,FALSE
38,7,190,Junior Developer,75,7/23/2025,,FALSE
39,7,415,Junior Analyst,75,7/19/2025,,FALSE
40,8,282,Stakeholder Manager,25,10/4/2023,10/11/2023,FALSE
41,8,132,Project Manager,75,8/6/2023,9/26/2023,TRUE
42,8,292,QA Specialist,75,9/8/2023,9/26/2023,FALSE
43,8,138,Delivery Manager,25,9/24/2023,9/25/2023,FALSE
44,9,48,Project Manager,75,7/12/2026,,TRUE
45,9,2,Delivery Manager,50,7/23/2026,,TRUE
46,9,234,QA Tester,75,9/6/2026,,FALSE
47,10,101,Program Manager,100,1/21/2027,,FALSE
